,source,target,lang,translation_direction
0,"Although most agencies are willing to take on most regular bookings, many agents specialise in particular types of travel, budget ranges or destinations.","অদুমওইনমক, অয়াম্বা এজেন্সীশিংনা মহৌশাগী বুকিংগুম্না অদুমক লৌনবা হোৎনৈ, এজেন্ত কয়ানা ত্রাভেল, বজেৎকী রেঞ্জ নৎত্রগা লমথুংফমগী অখন্নবা মওংদা হেন্না খুৎলোইবসু য়াওই।",mni,enxx
1,"If you're feeling more adventurous, take the opportunity to juice or blend up some smoothies:","অদোম্না ৱাখল য়াম্না নুংঙাইবা ওইরগদি, স্মুথী নত্ত্রগা হৈ মহী খরা শেম্বগী খুদোংচাবা লৌবা য়াই।",mni,enxx
2,"Airlines that offer these include Air Canada, Delta Air Lines, Lufthansa for flights originating from the U.S. or Canada, and WestJet.","হায়রিবা কান্নবা অসি পীরিবা এয়র্লাইনশিং অদুদি এয়র কেনেদা, দেলতা এয়র লাইন্স, য়ু.এস, নৎত্রগা কেনেদাদগী পাইরকপা ফ্লইতশিংগীদমক লফথান্সা, অমসুং ৱেস্তজেতনি।",mni,enxx
3,The number of users of the Yahoo! and Microsoft services combined will rival the number of AOL's customers.,য়াহু! অমসুং মাইক্রোসোফ সর্ভিসেসকী য়ু্জরশিংগী মশিং অসি পুনশিল্লকপনা AOLগী কস্তমরশিংগী মশিং অসিদা শীংনরক্লগনি।,mni,enxx
4,A triceratops' teeth would have been able to crush not only leaves but even very tough branches and roots.,ত্রাইসেরাতোপ অমগী ময়ানা উনাশিংদা নত্তনা য়াম্না কনবা উশাশিং অমসুং উরাশিংসু তকখাইবা ঙম্লম্মী।,mni,enxx
5,"It is believed by some, including John Grant, that both the funding crunch and a shift in the philosophy of educational television programming contributed to ending the series.",জোন গ্রান্ত য়াওনা মীওই খরনা ক্রঞ্চতা শেল থাদবা অমসুং এজুকেস্নেল তেলিভিজন প্রোগ্রাম্মিংগী ৱাখল্লোন্দা অহোংবা লাকপনা সেরিস অসি লোইশিনহনবদা তেংবাংখি হায়না থাজনখি।,mni,enxx
6,"Mr Costello said that when nuclear power generation becomes economically viable, Australia should pursue its use.",শ্রী কোস্তেল্লোনা ন্যুক্লিয়র পাৱর পুথোকপসি শেন্মিৎলোনগা চুনবা ওইরকপা মতমদা ওস্ত্রেলিয়ানা মসি শিজিন্নবগী থৌওং তুং ইনগদবনি হায়খ্রে।,mni,enxx
7,Unwanted murals or scribble is known as graffiti.,পামদবা মুরেল নৎত্রগা য়েকশিনবসিবু গ্রাফিতী হায়না কৌই।,mni,enxx
8,"In an ambush east of Bardia, the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci.","ব্রিতিশনা বারদিয়াগী নোংপোক্তা লান্দাবদা, ইতালীগী তরাশুবা আর্মীগী ইঞ্জিনিয়র ইন চীফ, জেনেরেল লাস্তুসিবু ফাখি।",mni,enxx
9,"It had a weaker army and a weaker navy, although they had just built four new ships right before the beginning of the war.",মখোয়না লান অদু হেক হৌদ্রিঙৈগী মাংওইননা অনৌবা জহাজ মরী শাখিবদা ঙাইরবসু মখোয়গী হেন্না শোনবা আর্মী অমসুং নেভী অমা লৈরম্মী।,mni,enxx
10,"Alexander, as king, offered to pay to rebuild the temple, but his offer was denied. Later, after Alexander died, the temple was rebuilt in 323 BCE.","অলেকজেন্দরনা নিংথৌ ওইনা লাইশঙ অসিবু শেমগৎ শাগৎনবা হায়জখি, অদুমওইনমক মহাক্না হায়জবদু য়াখিদে।তুংদা, অলেকজেন্দরনা শিরবা মতুংদা, লাইশঙ অদু 323 BCEদা নৌনা শেমগৎখি।",mni,enxx
11,"At the edge of glaciers huge blocks break loose, fall down and perhaps jump or roll farther from the edge.","গ্লেসিয়রশিংগী মচেকশিংদা অচৌবা ব্লোকশিং কিন্থরক্তুনা, মখাদা তাখি, অদুগা মচেক অদুদগী লাপ্না চোংলগা নৎত্রগা ওন্থখি।",mni,enxx
